corpus	lang	featspertokens	featsperlength	analysespertypes
UD_Basque-BDT/eu_bdt-ud-test.conllu	eu	2.5367	0.1267	1.0832
UD_English-PUD/en_pud-ud-test.conllu	en	1.4440	0.1521	1.0779
UD_Finnish-PUD/fi_pud-ud-test.conllu	fi	3.2612	0.1022	1.0097
UD_Kazakh-KTB/kk_ktb-ud-test.conllu	kk	2.5035	0.1381	1.0319
UD_North_Sami-Giella/sme_giella-ud-test.conllu	sme	2.8937	0.1096	1.0371
UD_Russian-PUD/ru_pud-ud-test.conllu	ru	4.1105	0.1311	1.0628
UD_Spanish-PUD/es_pud-ud-test.conllu	es	2.8295	0.1356	1.0389
UD_Turkish-PUD/tr_pud-ud-test.conllu	tr	3.0292	0.1285	1.0637
UD_Vietnamese-VTB/vi_vtb-ud-test.conllu	vi	1.0000	0.1698	1.0000
UD_Chukchi-Amguema/ckt_amguema-ud-test.conllu	ckt	4.9713	0.2617	1.0623

