corpus	lang	featspertokens	analysesperlength	analysespertypes
UD_Basque-BDT/eu_bdt-ud-test.conllu	eu	2.2075	0.1362	1.1029
UD_Chukchi-Amguema/ckt_amguema-ud-test.conllu	ckt	2.4675	0.1182	1.0798
UD_English-PUD/en_pud-ud-test.conllu	en	1.4639	0.1594	1.0767
UD_North_Sami-Giella/sme_giella-ud-test.conllu	sme	2.2126	0.1211	1.0560
UD_Russian-PUD/ru_pud-ud-test.conllu	ru	2.9543	0.1400	1.0972
UD_Spanish-PUD/es_pud-ud-test.conllu	es	1.9189	0.1442	1.0606
UD_Vietnamese-VTB/vi_vtb-ud-test.conllu	vi	1.0000	0.1737	1.0034
UD_Kazakh-KTB/kk_ktb-ud-test.conllu	kk	1.9319	0.1499	1.0581
UD_Finnish-PUD/fi_pud-ud-test.conllu	fi	2.5901	0.1115	1.0160
UD_Turkish-PUD/tr_pud-ud-test.conllu	tr	2.1937	0.1359	1.0657
